district,year_month,incident_count
Mangaluru,2024-08-01,264
Mangaluru,2024-09-01,285
Mangaluru,2024-10-01,301
Mangaluru,2024-11-01,274
Mangaluru,2024-12-01,315
Mangaluru,2025-01-01,281
Mangaluru,2025-02-01,281
Mangaluru,2025-03-01,274
Mangaluru,2025-04-01,317
Mangaluru,2025-05-01,305
Mangaluru,2025-06-01,264
Mangaluru,2025-07-01,255
Mangaluru,2025-08-01,244
Mangaluru,2025-09-01,270
Mangaluru,2025-10-01,300
Mangaluru,2025-11-01,258
Mangaluru,2025-12-01,298
Mysuru,2023-01-01,319
Mysuru,2023-02-01,312
Mysuru,2023-03-01,301
Mysuru,2023-04-01,325
Mysuru,2023-05-01,358
Mysuru,2023-06-01,306
Mysuru,2023-07-01,287
Mysuru,2023-08-01,295
Mysuru,2023-09-01,306
Mysuru,2023-10-01,341
Mysuru,2023-11-01,324
Mysuru,2023-12-01,347
Mysuru,2024-01-01,348
Mysuru,2024-02-01,322
Mysuru,2024-03-01,314
Mysuru,2024-04-01,359
Mysuru,2024-05-01,356
Mysuru,2024-06-01,323
Mysuru,2024-07-01,307
Mysuru,2024-08-01,297
Mysuru,2024-09-01,334
Mysuru,2024-10-01,571
Mysuru,2024-11-01,342
Mysuru,2024-12-01,389
Mysuru,2025-01-01,340
Mysuru,2025-02-01,323
Mysuru,2025-03-01,329
Mysuru,2025-04-01,357
Mysuru,2025-05-01,380
Mysuru,2025-06-01,331
Mysuru,2025-07-01,311
Mysuru,2025-08-01,324
Mysuru,2025-09-01,338
Mysuru,2025-10-01,382
Mysuru,2025-11-01,344
Mysuru,2025-12-01,414
