record_id,district,statistical_month,statistical_year,base_incident_count,predicted_risk_level
DRS-MNG-2024-08,Mangaluru,8,2024,315,MEDIUM
DRS-MNG-2024-09,Mangaluru,9,2024,298,LOW
DRS-MNG-2024-10,Mangaluru,10,2024,314,MEDIUM
DRS-MNG-2024-11,Mangaluru,11,2024,328,MEDIUM
DRS-MNG-2024-12,Mangaluru,12,2024,326,MEDIUM
DRS-MNG-2025-01,Mangaluru,1,2025,309,MEDIUM
DRS-MNG-2025-02,Mangaluru,2,2025,285,LOW
DRS-MNG-2025-03,Mangaluru,3,2025,331,MEDIUM
DRS-MNG-2025-04,Mangaluru,4,2025,268,LOW
DRS-MNG-2025-05,Mangaluru,5,2025,311,MEDIUM
DRS-MNG-2025-06,Mangaluru,6,2025,314,MEDIUM
DRS-MNG-2025-07,Mangaluru,7,2025,314,MEDIUM
DRS-MNG-2025-08,Mangaluru,8,2025,343,HIGH
DRS-MNG-2025-09,Mangaluru,9,2025,290,LOW
DRS-MNG-2025-10,Mangaluru,10,2025,328,MEDIUM
DRS-MNG-2025-11,Mangaluru,11,2025,301,LOW
DRS-MNG-2025-12,Mangaluru,12,2025,323,MEDIUM
DRS-MYS-2023-01,Mysuru,1,2023,338,HIGH
DRS-MYS-2023-02,Mysuru,2,2023,304,MEDIUM
DRS-MYS-2023-03,Mysuru,3,2023,326,HIGH
DRS-MYS-2023-04,Mysuru,4,2023,307,MEDIUM
DRS-MYS-2023-05,Mysuru,5,2023,350,HIGH
DRS-MYS-2023-06,Mysuru,6,2023,303,MEDIUM
DRS-MYS-2023-07,Mysuru,7,2023,335,HIGH
DRS-MYS-2023-08,Mysuru,8,2023,276,LOW
DRS-MYS-2023-09,Mysuru,9,2023,314,MEDIUM
DRS-MYS-2023-10,Mysuru,10,2023,326,HIGH
DRS-MYS-2023-11,Mysuru,11,2023,306,MEDIUM
DRS-MYS-2023-12,Mysuru,12,2023,310,MEDIUM
DRS-MYS-2024-01,Mysuru,1,2024,283,LOW
DRS-MYS-2024-02,Mysuru,2,2024,300,MEDIUM
DRS-MYS-2024-03,Mysuru,3,2024,300,MEDIUM
DRS-MYS-2024-04,Mysuru,4,2024,306,MEDIUM
DRS-MYS-2024-05,Mysuru,5,2024,294,LOW
DRS-MYS-2024-06,Mysuru,6,2024,306,MEDIUM
DRS-MYS-2024-07,Mysuru,7,2024,321,MEDIUM
DRS-MYS-2024-08,Mysuru,8,2024,326,HIGH
DRS-MYS-2024-09,Mysuru,9,2024,267,LOW
DRS-MYS-2024-10,Mysuru,10,2024,306,MEDIUM
DRS-MYS-2024-11,Mysuru,11,2024,310,MEDIUM
DRS-MYS-2024-12,Mysuru,12,2024,316,MEDIUM
DRS-MYS-2025-01,Mysuru,1,2025,311,MEDIUM
DRS-MYS-2025-02,Mysuru,2,2025,298,MEDIUM
DRS-MYS-2025-03,Mysuru,3,2025,315,MEDIUM
DRS-MYS-2025-04,Mysuru,4,2025,299,MEDIUM
DRS-MYS-2025-05,Mysuru,5,2025,327,HIGH
DRS-MYS-2025-06,Mysuru,6,2025,327,HIGH
DRS-MYS-2025-07,Mysuru,7,2025,306,MEDIUM
DRS-MYS-2025-08,Mysuru,8,2025,310,MEDIUM
DRS-MYS-2025-09,Mysuru,9,2025,299,MEDIUM
DRS-MYS-2025-10,Mysuru,10,2025,323,MEDIUM
DRS-MYS-2025-11,Mysuru,11,2025,308,MEDIUM
DRS-MYS-2025-12,Mysuru,12,2025,319,MEDIUM
